Latitude,PPFD,FvFm_mean,qP,qL,NPQ,phiPSII,phiNPQ,phiNO_new
34.09004,660.23,0.436426327,0.530637696,0.455105469,0.526817959,0.184814114,0.266863322,0.538530842
34.09004,730.7745,0.435348401,0.513733209,0.437470997,0.527618526,0.178965518,0.268680663,0.542675996
34.09004,871.8635,0.43713141,0.500299822,0.425941827,0.536513249,0.173513235,0.273573555,0.541599088
34.09004,95.874,0.470638228,0.763365201,0.68132448,0.270535159,0.318874734,0.138889051,0.539512906
34.09004,166.4185,0.465395574,0.723311372,0.639189107,0.339781109,0.290882257,0.171667876,0.532197553
34.09004,236.963,0.464888032,0.694425544,0.609145737,0.390413855,0.273107982,0.194564123,0.524226832
34.09004,307.5075,0.463651195,0.653310151,0.568012028,0.426741976,0.253545892,0.212554903,0.523901379
34.09004,378.052,0.464457766,0.643944399,0.560995236,0.477578921,0.245159957,0.232585127,0.511757966
34.09004,448.5965,0.46365543,0.594478464,0.508690738,0.493989929,0.225022757,0.243394548,0.519295159
34.09004,519.141,0.462375315,0.589107195,0.506595788,0.503453825,0.221510349,0.247289535,0.517707287
34.09004,589.6855,0.464319017,0.572511166,0.488868125,0.520460997,0.214809097,0.254752929,0.516697204
34.09004,660.23,0.465069721,0.552374068,0.468473475,0.522268601,0.207766647,0.258047067,0.520384187
34.09004,730.7745,0.463766231,0.54064959,0.457115506,0.525578501,0.201109925,0.260656497,0.522614782
34.09004,871.8635,0.46398814,0.523347087,0.440223274,0.528120855,0.195815234,0.262453982,0.525692778
27.471427,95.874,0.549846454,0.837184674,0.749114096,0.254086043,0.418584901,0.114340954,0.452967509
27.471427,166.4185,0.551879055,0.824794263,0.738612801,0.367929891,0.396851607,0.157938125,0.431158948
27.471427,236.963,0.551501893,0.790347131,0.701354983,0.500407646,0.362763137,0.205672113,0.41537545
27.471427,307.5075,0.55286069,0.740815148,0.650045042,0.669825185,0.322521184,0.26261706,0.398108643
27.471427,378.052,0.554159751,0.698946687,0.607694017,0.81371431,0.291596023,0.306905544,0.383888513
27.471427,448.5965,0.553602016,0.674014913,0.584961565,0.933040822,0.271409923,0.338822443,0.371347338
27.471427,519.141,0.554245723,0.622513056,0.535309897,1.052034665,0.242637976,0.373737809,0.363817955
27.471427,589.6855,0.553599745,0.598138445,0.511949683,1.125279377,0.228313488,0.391597146,0.358291361
27.471427,660.23,0.554670414,0.584245504,0.500587991,1.196295697,0.219919238,0.408215299,0.351109196
27.471427,730.7745,0.554680538,0.554161197,0.4716915,1.248094863,0.205294809,0.422504752,0.349197752
27.471427,95.874,0.500067833,0.825335486,0.749815772,0.330489463,0.357409261,0.153599589,0.484434282
27.471427,166.4185,0.501299388,0.800703686,0.725169939,0.464422869,0.330000918,0.204326528,0.459056319
27.471427,236.963,0.497474835,0.764040734,0.688685253,0.612560534,0.295510386,0.257234336,0.437896851
27.471427,307.5075,0.49649632,0.705296882,0.628800578,0.772175331,0.257730312,0.31050147,0.419170685
27.471427,378.052,0.495164603,0.662512413,0.587041067,0.893717856,0.231947861,0.34801575,0.405886084
27.471427,448.5965,0.495262185,0.625203687,0.552122899,0.9996085,0.212355181,0.377742239,0.39425301
27.471427,519.141,0.495252132,0.581829559,0.510029715,1.096415193,0.19246528,0.404551858,0.386015904
27.471427,589.6855,0.495393175,0.568243945,0.497318037,1.14012957,0.186294437,0.41442855,0.381272976
27.471427,660.23,0.49641322,0.545957974,0.476429592,1.188690939,0.1765797,0.425897868,0.376770404
27.471427,730.7745,0.496387436,0.52226454,0.452576628,1.197142403,0.168601913,0.430470502,0.378943149
27.471427,95.874,0.612898638,0.898695474,0.81803197,0.255824562,0.504905362,0.099148878,0.394789042
27.471427,166.4185,0.614463401,0.881927381,0.796650571,0.424551789,0.469962758,0.155617458,0.374787064
27.471427,236.963,0.613797566,0.839848965,0.748811168,0.696365458,0.412069853,0.236928767,0.349434784
27.471427,307.5075,0.612651342,0.778866819,0.684770532,0.984550063,0.353057964,0.314157852,0.32840527
27.471427,378.052,0.613205258,0.711184544,0.615088317,1.226961976,0.30522313,0.374053235,0.314088472
27.471427,448.5965,0.613490155,0.660400248,0.568399852,1.450194762,0.26905685,0.422299465,0.299614752
27.471427,519.141,0.613533921,0.615021153,0.525233762,1.610351859,0.242025982,0.455729697,0.291364634
27.471427,589.6855,0.614861002,0.586438754,0.498406697,1.726004027,0.226728312,0.476835979,0.284969956
